movie_id,title,industry,release_year,imdb_rating,studio,language_id,budget,revenue,unit,currency
101,K.G.F: Chapter 2,Bollywood,2022,8.4,Hombale Films,3,1,12.5,Billions,INR
102,Doctor Strange in the Multiverse of Madness,Hollywood,2022,7,Marvel Studios,5,200,954.8,Millions,USD
103,Thor: The Dark World,Hollywood,2013,6.8,Marvel Studios,5,165,644.8,Millions,USD
104,Thor: Ragnarok,Hollywood,2017,7.9,Marvel Studios,5,180,854,Millions,USD
105,Thor: Love and Thunder,Hollywood,2022,6.8,Marvel Studios,5,250,670,Millions,USD
106,Sholay,Bollywood,1975,8.1,United Producers,1,Not Available,Not Available,Not Available,Not Available
107,Dilwale Dulhania Le Jayenge,Bollywood,1995,8,Yash Raj Films,1,400,2000,Millions,INR
108,3 Idiots,Bollywood,2009,8.4,Vinod Chopra Films,1,550,4000,Millions,INR
109,Kabhi Khushi Kabhie Gham,Bollywood,2001,7.4,Dharma Productions,1,390,1360,Millions,INR
110,The Galactic Odyssey,Sci-Fi,2023,7.5,Starlight Studios,5,120,280,Millions,USD
111,Mystical Creatures,Fantasy,2023,6.9,Enchanting Films,4,80,150,Millions,USD
112,Secrets of the Abyss,Adventure,2021,8.2,Cinematic Adventures,5,90,210,Millions,USD
113,Eternal Echoes,Romance,2023,7.1,Romantic Dreams,1,60,120,Millions,USD
114,Rogue Agents,Action,2022,6.5,ThunderStrike Productions,5,150,320,Millions,USD
115,Lost in Time,Adventure,2022,7.8,Timeless Pictures,2,70,180,Millions,USD
116,Space Serenade,Sci-Fi,2021,7.3,Cosmic Studios,5,110,250,Millions,USD
117,Whispers in the Wind,Drama,2023,8.5,Serene Films,1,30,90,Millions,USD
118,Midnight Masquerade,Mystery,2022,7,Enigma Entertainment,3,45,110,Millions,USD
119,Legacy of Legends,Action,2023,8,Epic Productions,5,200,480,Millions,USD
120,Enchanted Symphony,Animation,2022,7.6,Magical Studios,4,75,160,Millions,USD
121,Whirlwind of Wonders,Comedy,2021,6.7,Joyful Pictures,2,40,95,Millions,USD
